Link,Direction,Sublink,NearLatitude_DecDeg,NearLongitude_DecDeg,FarLatitude_DecDeg,FarLongitude_DecDeg,Frequency_GHz,Polarization,Length_km,NearAntennaDiameter_m,FarAntennaDiameter_m
10052,B,169,57.72355,11.8898,57.70604,11.88968,38.416,Vertical,1.94873,0.3,0.3
10053,A,116,57.69631,11.8446,57.71251,11.78202,37.212,Vertical,4.14327,0.3,0.6
10053,B,117,57.71251,11.78202,57.69631,11.8446,38.472,Vertical,4.14327,0.6,0.3
10054,A,403,57.69755,11.82252,57.71251,11.78202,28.1785,Vertical,2.93255,0.3,0.3
10054,B,404,57.71251,11.78202,57.69755,11.82252,29.1865,Vertical,2.93255,0.3,0.3
10055,A,141,57.72946,11.91532,57.72285,11.97265,32.417,Vertical,3.4941,0.3,0.3
10055,B,142,57.72285,11.97265,57.72946,11.91532,33.229,Vertical,3.4941,0.3,0.3
10056,A,460,57.73922,11.89385,57.72355,11.8898,28.2065,Vertical,1.76063,0.3,0.3
10056,B,459,57.72355,11.8898,57.73922,11.89385,29.2145,Vertical,1.76063,0.3,0.3
10057,A,278,57.74482,11.96684,57.74166,11.97426,28.2065,Vertical,0.5648,0.3,0.3
10057,B,277,57.74166,11.97426,57.74482,11.96684,29.2145,Vertical,0.5648,0.3,0.3
10058,A,520,57.73264,11.98832,57.74716,11.99763,28.206,Vertical,1.70875,0.3,0.3
10058,B,519,57.74716,11.99763,57.73264,11.98832,29.214,Vertical,1.70875,0.3,0.3
10059,A,331,57.75482,11.92055,57.72355,11.8898,28.1785,Vertical,3.93376,0.3,0.6
10059,B,332,57.72355,11.8898,57.75482,11.92055,29.1865,Vertical,3.93376,0.6,0.3
10060,A,557,57.75177,12.02825,57.75251,12.03854,28.2065,Vertical,0.61843,0.3,0.3
10060,B,555,57.75251,12.03854,57.75177,12.02825,29.2145,Vertical,0.61843,0.3,0.3
10061,A,252,57.65667,11.9206,57.65076,11.91455,28.2065,Vertical,0.75079,0.3,0.3
10061,B,251,57.65076,11.91455,57.65667,11.9206,29.2145,Vertical,0.75079,0.3,0.3
10062,A,108,57.66089,11.89823,57.65076,11.91455,28.2345,Vertical,1.48993,0.3,0.3
10062,B,107,57.65076,11.91455,57.66089,11.89823,29.2425,Vertical,1.48993,0.3,0.3
10063,A,362,57.66005,11.84844,57.67353,11.88469,38.556,Vertical,2.6328,0.3,0.3
10063,B,361,57.67353,11.88469,57.66005,11.84844,37.296,Vertical,2.6328,0.3,0.3
10064,A,164,57.6614,11.94447,57.62855,11.9672,28.2345,Vertical,3.90091,0.3,0.3
10064,B,163,57.62855,11.9672,57.6614,11.94447,29.2425,Vertical,3.90091,0.3,0.3
10065,A,433,57.66768,11.92472,57.65076,11.91455,28.2625,Vertical,1.97961,0.3,0.3
10065,B,432,57.65076,11.91455,57.66768,11.92472,29.2705,Vertical,1.97961,0.3,0.3
10066,A,477,57.67465,11.92586,57.67292,11.91856,38.584,Vertical,0.47603,0.3,0.3
10066,B,478,57.67292,11.91856,57.67465,11.92586,37.324,Vertical,0.47603,0.3,0.3
10067,A,530,57.65008,11.94072,57.62855,11.9672,28.1785,Horizontal,2.87101,0.3,0.3
10067,B,529,57.62855,11.9672,57.65008,11.94072,29.1865,Horizontal,2.87101,0.3,0.3
10068,A,396,57.67353,11.88469,57.68388,11.89021,33.201,Vertical,1.19897,0.3,0.3
10068,B,395,57.68388,11.89021,57.67353,11.88469,32.389,Vertical,1.19897,0.3,0.3
10069,A,617,57.66592,11.8706,57.67353,11.88469,38.528,Vertical,1.19374,0.3,0.3
10069,B,618,57.67353,11.88469,57.66592,11.8706,37.268,Vertical,1.19374,0.3,0.3
10070,A,441,57.66825,11.90908,57.65667,11.9206,29.2145,Vertical,1.46146,0.3,0.3
10070,B,442,57.65667,11.9206,57.66825,11.90908,28.2065,Vertical,1.46146,0.3,0.3
10071,A,504,57.68,11.94532,57.68479,11.96203,29.2425,Vertical,1.1302,0.3,0.3
10071,B,503,57.68479,11.96203,57.68,11.94532,28.2345,Vertical,1.1302,0.3,0.3
10072,A,476,57.67292,11.91856,57.69174,11.92386,32.417,Vertical,2.11808,0.3,0.3
10072,B,475,57.69174,11.92386,57.67292,11.91856,33.229,Vertical,2.11808,0.3,0.3
10073,A,178,57.72136,11.94161,57.71274,11.89114,29.2145,Vertical,3.15745,0.3,0.3
10073,B,177,57.71274,11.89114,57.72136,11.94161,28.2065,Vertical,3.15745,0.3,0.3
10074,A,603,57.70585,11.92181,57.70321,11.95678,32.417,Vertical,2.10585,0.3,0.3
10074,B,604,57.70321,11.95678,57.70585,11.92181,33.229,Vertical,2.10585,0.3,0.3
10075,A,93,57.74166,11.97426,57.75058,11.98804,29.2145,Vertical,1.28815,0.3,0.3
10075,B,94,57.75058,11.98804,57.74166,11.97426,28.2065,Vertical,1.28815,0.3,0.3
